ref_rexel,vendor_name,product_name,product_cat,Calibre,Puissance de coupure max.,Type de pose,courant de commutation max.,possibilité dextension modulaire,puissance de sortie,système de bus KNX,système de bus Powernet,système de bus radio,Classe de protection (IP),Nbre de sorties,Nbre pas de 9mm,adapté à une charge C,autres systèmes de bus,avec affichage LED,commande sur site/commande manuelle,couplage au bus inclus,différentes phases connectables,système de bus KNX-radio,système de bus LON,tension de fonctionnement normale,Compatible 3i,non,Traitement de surface,avec affichage,avec capteur infrarouge,avec champ dinscription,avec protection contre le vol/démontage,avec thermostat dambiance,couleur,finition de la surface,matériau,nombre de points dactionnement,nombre de touches,qualité du matériau,transparent,Modèle type,plage de mesure,numéro RAL (équivalent),changement de tarif,homologation selon PTB,interface dimpulsions S0,puissance réactive,radio bidirectionnelle,type de raccordement,Nbre de canaux,appareil radio CB,couverture,fréquence,protégé contre les écoutes,Alimentation,codeur radio,contact à poussoir radio en saillie,contact à poussoir radio encastré,couvercle de protection du clavier,fréquence radio,longueur de code (bit),nombre de commandes,système Rollingcode,émetteur radio manuel,adapté à la classe de protection (IP),adapté à la commande de méchanismes domotiques,avec lentille/symbole interchangeable,fenêtre de contrôle/sortie de lumière,impression/marquage,sans halogène,type de fixation,utilisation,type d?accessoires électriques,adapté pour interrupteur,adapté à un bouton dimpulsion,adapté à un commutateur de store vénitien,adapté à un commutateur de store vénitien/volet roulant,adapté à un commutateur de volet roulant,adapté à un variateur,avec codeur radio,avec contact à poussoir radio,avec émetteur radio manuel,installé dans boîtier à socle de tube,intégré dans un boîtier,mode boutons,mode commutation,modulation,module/platine,1ere tension de sortie,SIL conformément à IEC 61508,Type de tension dalimentation,adapté aux fonctions de sécurité,adapté à un montage sur rail,courant de sortie max. 1,finition du raccordement électrique,hauteur,hauteur dencastrement,largeur,largeur dencastrement,montage direct possible,montage mural possible,montage possible sur barres profilées,niveau de performance selon EN ISO 13849-1,nombre de phases,profondeur,protégé contre les courts-circuits,puissance dissipée,puissance nominale,stabilisé,tension dalimentation assignée à CA 50Hz,tension de sortie ajustable,tension primaire 1,tension secondaire 1,module de bus amovible,angle de détection vertical,auto-apprentissage de la fonction luminosité,commande auxiliaire possible,commutateur de sélection,hauteur de montage optimale,luminosité de déclenchement ajustable,protection au ras du mur/surveillance du champ arrière,retard à la coupure par auto-apprentissage,spécial animaux,surveillance de cage descalier,Batterie de traction,Fermé (scellé),Sec,adapté à une charge rapide,autre désignation,bloc daccus,boîtier en plastique,capacité,désignation IEC,désignation des dimensions,"hauteur, borne comprise",longueur,nombre de cellules,poids,température ambiante,tension nominale,utilisation dans la zone Ex,type daccessoire,Couvercle,avec blindage,connectable,coulable,finition antidéflagrante,finition du couvercle,fixation du couvercle,forme,garnissage,maintien de fonction,masse de coulage fournie,plombable,pour Ex-Zone gaz,pour diamètre du tube,pour poussière Ex-Zone,résistant aux intempéries,type de traversée de boîtier,classe VdS,système radio,"Portée maxi de détection à H=2,5",adapté pour une transmission sans fil,angle de détection horizontal,champ de détection de diamètre au sol,commande HVAC,durée de marche max.,durée de marche min.,hauteur de montage,interconnectable,largeur de portée max.,possibilité de cablage dun variateur déporté,régulation de la lumière,sensibilité ajustable,commutateur de pontage,imprimable avec,dépendant du fournisseur,interface IR,interface radio,possibilité de mise à jour,protection contre le démontage,protocole,serveur Web,tension de fonctionnement,visualisation,Avec alimentation,longueur dalimentation,Télécommande,décodeur Digital-Surround,nombre de sorties numériques,nombre d?entrées numériques,Nbre de têtes,courant de commande max.,fonctionnement en parallèle possible,tension,type de charge,puissance supplémentaire utilisable,nombre dentrées binaires,Courant de coupure max. (charge résistive),commutation manuelle,grandeur de commande commutable,grandeur de commande continue,courant de sortie max.,nombre de lignes à alimenter,tension du bus stockable,Nombre dentrées auxiliaires,composition,nombre de sorties de haut-parleur,puissance musicale à 8ohms,puissance sinus à 8ohms,RDS,avec affichage de la fréquence,avec fonction dannonces vocales,avec tuner,capacité de charge nominale,autres interfaces,champ désignation,fonction tactile,écran,alimentation de secours intégrée,appeleur automatique intégré,avec alimentation électrique,convient pour un usage domotique,interface externe,liaison radio,mémoire dévénements,nombre de groupes dassaut,nombre de groupes de sabotage,nombre de groupes de signalisation,nombre de sorties pour générateur de signal acoustique,nombre de sorties pour générateur de signal optique,affichage darmement,circuit dactivation biométrique,circuit dactivation mental,circuit dactivation mécanique,circuit dactivation électronique,Diamètre raccord,Type détecteur,caractéristique,courant de fonctionnement,plage de détection,surveillance de couvercle,Adapté à un système 70 V,Ligne 100V,Système passif,capacité de charge de musique,encastré,haut-parleur pavillon,impédance,montage encastré,nombre de voies,projecteur de son,réglage du volume,sans fil,système actif,système bass reflex,adapté à un commutateur IR/insert de commutation,adapté à un commutateur de store vénitien IR/insert de store vénitien,adapté à un contact à poussoir IR,adapté à un variateur IR/insert variateur,adapté à une unité dalimentation/de commutation,Couleur du boîtier,Matière,Niveau sonore,consommation délectricité,type de courant,avec commande sur site,capteur externe,contact à poussoir de présence,réglage manuel de la valeur de consigne,adapté à un montage sur platine,noyau annulaire,Tension,capteur de température,commutateur de groupe,détecteur de pluie,extension de module jusquaux canaux max.,fonction,fonction anti-panique,fonction centrale ARRÊT,"fonction darrêt différé, nombre de canaux",horloge DCF intégrée,minuterie descalier et avertissement,modem GSM intégré,plage temporelle,programme astronomique,programme hebdomadaire,simulation de présence,tension assignée (Ue),Gaz irritant,détecte dautres types de gaz,détecte des gaz asphyxiants,détecte des gaz explosifs,détecte des gaz inflammables,détecte des gaz toxiques,détecte lammoniaque (NH3),détecte le butane (C4H10),détecte le dioxyde de carbone (CO2),détecte le gaz anesthésique,détecte le gaz irritant,détecte le gaz naturel,détecte le monoxyde de carbone (CO),détecte le méthane (CH4),détecte le propane (C3H8),grandeur dentrée de courant,grandeur dentrée de tension,nombre dentrées,sans contact,type de support de données,Blindage,Couleur de la gaine,Nbre de conducteurs,Section du conducteur,Tension nominale U0,armature/ferraillage,classe du conducteur,conducteur de protection,diamètre du conducteur,diamètre externe approx.,fil auxiliaire,gaine en plomb,gaine protectrice,ignifugé,isolation des fils,marquage du conducteur,matériau conducteur,matériau de la gaine,organe de support,sans halogène selon EN 60754-1/2,"température extérieure admissible du câble, en mouvement","température extérieure admissible du câble, fixe",température max. admissible du conducteur,tension nominale U,à faible dégagement de fumée selon EN 61034-2,maintien de lisolation,nombre de canaux de variation universels,rayon de surveillance,commande LED,tension de détection externe requise,Affichage LED,affichage LCD,nombre de groupes,panneau dextension,écran tactile,arrêt forcé,commandable à distance,couleur de calotte,type de générateur de signal acoustique,type de signal acoustique,langue,Type câblage,Type dextension,adapté à,élément fonctionnel logique,bras réversibles,nombre de crochets,étrier de serrage,Type,type de signal optique,adapté à un élément daffichage,auto-apprentissage,nombre max. dappareils contrôlables,préprogrammé,transmission de signal,émetteur de fenêtre,émetteur manuel,émetteur mural,interface 1-10V,Etanche,avec languettes à clou,avec vis,"borne, position fixe",entrée de larrière,fixation au crochet de luminaire,fixation des appareils,profondeur intérieure,tubulure,type de construction,verrouillage de tube,classe de précision,Angle détection,nombre demplacements de mémoire,radio Internet,type daffichage,Compatible Energeasy Connect,Produit connecté,courant de commutation résistif,fonction commutation,nombre de canaux de sortie,nombre de canaux dentrée,nombre dentrées de commutation,tension dentrée,nombre max. de sorties de store vénitien,Type de tension dentrée,fonction de protection des vannes,tension de commutation,2e tension de sortie,3e tension de sortie,puissance absorbée,tension dalimentation assignée à CA 60 Hz,tension de sortie réglée,valeur nominale du courant de sortie 1,nombre dinductances darrêt intégrées,avec protection contre les contacts accidentels,courant assigné In,avec DCF77,avec chauffage,entrée analogique,signal acoustique,station météo,capacité de mémoire,avec résistance terminale,blindé,finition raccordement 1,finition raccordement 2,longueur du conduit,raccordement 1,raccordement 2,nombre dentrées du capteur de lumière,avec fonction denvoi,avec signal sonore,avec éclairage,Contact de report,Impression,Nbre de pôles,Zone de texte/surface dinscription,contacts,hauteur dappareil,largeur dappareil,nombre de bascules dactionnement,profondeur dappareil,type de commande,agréé VdS,alimentation électrique principale,autonome,avec affichage de la tension,avec batterie de secours,avec label Q,avec socle,avec éclairage dorientation,batterie de secours fournie,batterie de secours rechargeable fournie,connexion par câble,connexion par radio (en standard),détecteur de fumée,entrée de câble,interconnectable par radio (en option),nombre max. interconnectable,principe de fonctionnement,type de bouton de test/pause,DSSS,Ethernet,FHSS,ISDN,bande de fréquences,compatible WiFi,cryptage,fonction de test de connexion,protocole radio,raccordement pour antenne externe,taux de transmission max.,type de bus,puissance de commutation,autonomie,heure dété/dhiver,horloges secondaires contrôlables par bus,mise à jour des jours fériés,programme annuel,programme quotidien,radioguidé (DCF77),programmation externe,X.31/X.25,avec boîtier,nombre max. dentrées,raccordement RNIS,raccordement analogique,Classe Energétique,Durée de vie,Flux lumineux,Intensité,angle de rayonnement,type de tension,courant de sortie,tension de sortie,interfaces de réception de données,interfaces de transmission de données,largeur de boîtier,nombre maximal de compteurs,types dénergie primaire,affichage de la température et de la course,alimentation électrique du bus,fonction maître/esclave,régulateur de température avec régulation continue incorporée,touches de commande manuelle au niveau de lentraînement,longueur de câble de raccordement,longueur de sonde,bidirectionnel,unidirectionnel,Type daccessoire mécanique,Finition de montage affleurant,Nbre de postes,adapté à un canal dallège,adapté à une boîte de sol,adapté à une installation encastrée,adapté à une installation intégrée,avec volet de protection,"nombre dunités, horizontales","nombre dunités, verticales",sens de montage,nombre de relais,tension dalimentation requise,transmission,Nombre dentrées numériques,Objectif ajustable,système dimage,Poste à accès direct mains libres,arrêt automatique dappel,bouton de lumière/douverture de porte,communication interne,diagonale de lécran,distinction dappel,fonctions de commutation,ouvre-porte automatique,adapté à un conducteur massif,adapté à un conducteur multibrins,adapté à un câble plat,adapté à un câble rond,catégorie,outil spécial requis,plage AWG,type de connecteur,adapté pour un détecteur de mouvement,Appareil,Composant déclairage de secours intégré,Culot,Flux lumineux efficace,IRC,Puissance ECL,Puissance de la lampe en Multiwatt,Source Incluse,Tension nominale,Type de variation,adapté à un montage au plafond,adapté à un montage en saillie,adapté à un montage encastré,adapté à une suspension,convient pour léclairage durgence,couleur de la lumière,courant nominal,hauteur/profondeur,montage en ligne continue possible,nombre de lampes/modules,protection contre lincendie D,puissance du système,température de couleur,Contacteur/disjoncteur,angle de linsert central vrillé,avec couvercle,forme de boîtier,nombre de prises avec contact de terre,nombre de prises européennes,prise inclinée ou inclinable,protection contre les surtensions
ARD64390,Arnould,ACTIO CDE 1R SCS ESPACE EVOL.,Actionneur de commutation bus,6__A,1380__W,encastré,6__A,Non,1380__W,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64190,Arnould,ACTIO CDE 1R SCS+ 1MAN EE BL,Actionneur de commutation bus,6__A,1380__W,encastré,6__A,Non,1380__W,Non,Non,Non,IP20,1,2,Oui,autre,Oui,Oui,Oui,Non,Non,Non,100-240__V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64192,Arnould,ACTIO+CD INT.2R SCS+1MNVR EE B,Actionneur de commutation bus,2__A,500__W,encastré,,Non,,Non,Non,Non,IP20,2,2,Non,autre,Oui,Oui,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64191$0718$P,Arnould,ACTIO+CD INT.2R SCS+2MAN EE BL,Actionneur de commutation bus,2__A,460__W,encastré,,Non,,Non,Non,Non,IP20,2,2,Non,autre,Oui,Oui,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64391$0118$P,Arnould,ACTIO+CDE INT.2R SCS ESP. EVOL,Système domotique,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64193,Arnould,ACTION.CDE 2 RELAIS LUMIERE EE,unknown,,,,,,,,,,,,,,,,,,,,,,,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64194$0117$P,Arnould,ACTION.CDE 2 RELAIS MOTEUR EE,unknown,,,,,,,,,,,,,,,,,,,,,,,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD64392,Arnould,ACTIONNEUR COMMAND 2 RELAIS EE,unknown,,,,,,,,,,,,,,,,,,,,,,,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD67481,Arnould,ART ESCAB MH 1 LUM ON OFF,unknown,,,,,,,,,,,,,,,,,,,,,,,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARD67488,Arnould,ART ESCAB MH 4 SCEMARIOS,Commande bus,,,apparent,,,,Non,Non,Non,IP21,,,,sans,Oui,,Non,,Non,Non,,,,autre,Non,Non,Non,Non,Non,acier inoxydable,mat,métal,4,4,acier inoxydable,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
